,exchangetoken,tradingsymbol,symbolname,description,expiry,strikeprice,ticksize,lotsize,optiontype,series,assettype,exchange,isin,qtyunits,prcunits,prcqtn,multiplier,asmgsmflag,asmgsmmsg
92357,1140592_BFO,SENSEX24N0881300CE,SENSEX,SENSEX24N0881300CE,08/NOV/24,81300.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92358,1161140_BFO,SENSEX24D0680100PE,SENSEX,SENSEX24D0680100PE,06/DEC/24,80100.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92359,1161442_BFO,SENSEX24D0677200PE,SENSEX,SENSEX24D0677200PE,06/DEC/24,77200.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92360,1136224_BFO,SENSEX24O3182500PE,SENSEX,SENSEX24O3182500PE,31/OCT/24,82500.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92361,1161414_BFO,SENSEX24D0679600PE,SENSEX,SENSEX24D0679600PE,06/DEC/24,79600.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92362,1164582_BFO,SENSEX25JAN81300PE,SENSEX,SENSEX25JAN81300PE,31/JAN/25,81300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92363,1126633_BFO,SENSEX24NOV83100CE,SENSEX,SENSEX24NOV83100CE,29/NOV/24,83100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92365,1164670_BFO,SENSEX24D1382000PE,SENSEX,SENSEX24D1382000PE,13/DEC/24,82000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92367,1127301_BFO,SENSEX26DEC88000PE,SENSEX,SENSEX26DEC88000PE,25/DEC/26,88000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92368,1164824_BFO,SENSEX25JAN80000PE,SENSEX,SENSEX25JAN80000PE,31/JAN/25,80000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92372,1140136_BFO,SENSEX24O3188400PE,SENSEX,SENSEX24O3188400PE,31/OCT/24,88400.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92373,866810_BFO,SENSEX25DEC85000CE,SENSEX,SENSEX25DEC85000CE,26/DEC/25,85000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92375,1138453_BFO,SENSEX24DEC81800PE,SENSEX,SENSEX24DEC81800PE,27/DEC/24,81800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92376,1138364_BFO,SENSEX24DEC84700PE,SENSEX,SENSEX24DEC84700PE,27/DEC/24,84700.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92377,1128406_BFO,SENSEX24NOV77700CE,SENSEX,SENSEX24NOV77700CE,29/NOV/24,77700.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92378,1146871_BFO,SENSEX24N1485000PE,SENSEX,SENSEX24N1485000PE,14/NOV/24,85000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92380,1135955_BFO,SENSEX24O3179300CE,SENSEX,SENSEX24O3179300CE,31/OCT/24,79300.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92381,1149659_BFO,SENSEX24N1478300PE,SENSEX,SENSEX24N1478300PE,14/NOV/24,78300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92384,1164059_BFO,SENSEX25JAN80400CE,SENSEX,SENSEX25JAN80400CE,31/JAN/25,80400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92386,1126859_BFO,SENSEX24NOV84100CE,SENSEX,SENSEX24NOV84100CE,29/NOV/24,84100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92387,1139878_BFO,SENSEX24N0884100PE,SENSEX,SENSEX24N0884100PE,08/NOV/24,84100.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92389,1139789_BFO,SENSEX24N0884800PE,SENSEX,SENSEX24N0884800PE,08/NOV/24,84800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92390,1164350_BFO,SENSEX25JAN82600PE,SENSEX,SENSEX25JAN82600PE,31/JAN/25,82600.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92391,1149880_BFO,SENSEX24N2281700PE,SENSEX,SENSEX24N2281700PE,22/NOV/24,81700.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92393,1164601_BFO,SENSEX25JAN77000PE,SENSEX,SENSEX25JAN77000PE,31/JAN/25,77000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92394,1150396_BFO,SENSEX24O3177300PE,SENSEX,SENSEX24O3177300PE,31/OCT/24,77300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92401,1150094_BFO,SENSEX25SEP76000CE,SENSEX,SENSEX25SEP76000CE,26/SEP/25,76000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92404,1146176_BFO,SENSEX24N1484400PE,SENSEX,SENSEX24N1484400PE,14/NOV/24,84400.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92406,1161265_BFO,SENSEX24D0677500CE,SENSEX,SENSEX24D0677500CE,06/DEC/24,77500.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92408,1139957_BFO,SENSEX25JUN90000PE,SENSEX,SENSEX25JUN90000PE,27/JUN/25,90000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92409,1128199_BFO,SENSEX24NOV78000PE,SENSEX,SENSEX24NOV78000PE,29/NOV/24,78000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92410,1149293_BFO,SENSEX24N2282600PE,SENSEX,SENSEX24N2282600PE,22/NOV/24,82600.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92412,1146739_BFO,SENSEX25SEP83000CE,SENSEX,SENSEX25SEP83000CE,26/SEP/25,83000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92413,1149037_BFO,SENSEX24N1479900PE,SENSEX,SENSEX24N1479900PE,14/NOV/24,79900.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92418,1162632_BFO,SENSEX24D0676200CE,SENSEX,SENSEX24D0676200CE,06/DEC/24,76200.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92419,1162519_BFO,SENSEX24N1476500CE,SENSEX,SENSEX24N1476500CE,14/NOV/24,76500.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92421,1145701_BFO,SENSEX24O3189800CE,SENSEX,SENSEX24O3189800CE,31/OCT/24,89800.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92422,1164474_BFO,SENSEX25JAN77400CE,SENSEX,SENSEX25JAN77400CE,31/JAN/25,77400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92423,1164172_BFO,SENSEX24D1383100PE,SENSEX,SENSEX24D1383100PE,13/DEC/24,83100.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92424,1113981_BFO,SENSEX24DEC77000CE,SENSEX,SENSEX24DEC77000CE,27/DEC/24,77000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92425,1161465_BFO,SENSEX24D0679500PE,SENSEX,SENSEX24D0679500PE,06/DEC/24,79500.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92426,1136059_BFO,SENSEX24O3181800PE,SENSEX,SENSEX24O3181800PE,31/OCT/24,81800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92428,1126410_BFO,SENSEX24NOV78500PE,SENSEX,SENSEX24NOV78500PE,29/NOV/24,78500.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92429,1159513_BFO,SENSEX26DEC78000PE,SENSEX,SENSEX26DEC78000PE,25/DEC/26,78000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92430,1113896_BFO,SENSEX26JUN77000CE,SENSEX,SENSEX26JUN77000CE,26/JUN/26,77000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92431,1140271_BFO,SENSEX24N0881100CE,SENSEX,SENSEX24N0881100CE,08/NOV/24,81100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92432,1149820_BFO,SENSEX24N2283500CE,SENSEX,SENSEX24N2283500CE,22/NOV/24,83500.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92435,1164748_BFO,SENSEX25JAN79900PE,SENSEX,SENSEX25JAN79900PE,31/JAN/25,79900.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92436,1139944_BFO,SENSEX24N0882400CE,SENSEX,SENSEX24N0882400CE,08/NOV/24,82400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92438,1164274_BFO,SENSEX24D1381700PE,SENSEX,SENSEX24D1381700PE,13/DEC/24,81700.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92440,1146539_BFO,SENSEX24N1488100CE,SENSEX,SENSEX24N1488100CE,14/NOV/24,88100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92441,1149061_BFO,SENSEX24N1479800CE,SENSEX,SENSEX24N1479800CE,14/NOV/24,79800.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92442,1146503_BFO,SENSEX25SEP82000CE,SENSEX,SENSEX25SEP82000CE,26/SEP/25,82000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92444,1146485_BFO,SENSEX24N1489000CE,SENSEX,SENSEX24N1489000CE,14/NOV/24,89000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92445,1138751_BFO,SENSEX24DEC83300CE,SENSEX,SENSEX24DEC83300CE,27/DEC/24,83300.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92446,1165102_BFO,SENSEX25JAN83600PE,SENSEX,SENSEX25JAN83600PE,31/JAN/25,83600.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92449,1140942_BFO,SENSEX24O3187900PE,SENSEX,SENSEX24O3187900PE,31/OCT/24,87900.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92450,1162442_BFO,SENSEX24DEC76800PE,SENSEX,SENSEX24DEC76800PE,27/DEC/24,76800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92451,1161116_BFO,SENSEX24D0685000CE,SENSEX,SENSEX24D0685000CE,06/DEC/24,85000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92454,1127325_BFO,SENSEX26DEC88000CE,SENSEX,SENSEX26DEC88000CE,25/DEC/26,88000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92455,1136538_BFO,SENSEX24O3186900CE,SENSEX,SENSEX24O3186900CE,31/OCT/24,86900.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92457,1163209_BFO,SENSEX24D0676100PE,SENSEX,SENSEX24D0676100PE,06/DEC/24,76100.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92458,1126781_BFO,SENSEX24NOV81300PE,SENSEX,SENSEX24NOV81300PE,29/NOV/24,81300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92459,1164249_BFO,SENSEX25JAN82300PE,SENSEX,SENSEX25JAN82300PE,31/JAN/25,82300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92460,1107621_BFO,SENSEX26DEC87000PE,SENSEX,SENSEX26DEC87000PE,25/DEC/26,87000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92462,1137952_BFO,SENSEX24DEC81800CE,SENSEX,SENSEX24DEC81800CE,27/DEC/24,81800.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92472,1142062_BFO,SENSEX24N0888800PE,SENSEX,SENSEX24N0888800PE,08/NOV/24,88800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92476,1161152_BFO,SENSEX24D0679000PE,SENSEX,SENSEX24D0679000PE,06/DEC/24,79000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92477,1144072_BFO,SENSEX24NOV89300PE,SENSEX,SENSEX24NOV89300PE,29/NOV/24,89300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92478,1149719_BFO,SENSEX24N0878100CE,SENSEX,SENSEX24N0878100CE,08/NOV/24,78100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92479,1164794_BFO,SENSEX25JAN78400CE,SENSEX,SENSEX25JAN78400CE,31/JAN/25,78400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92480,1164859_BFO,SENSEX24N1475700PE,SENSEX,SENSEX24N1475700PE,14/NOV/24,75700.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92482,1128466_BFO,SENSEX24NOV77900CE,SENSEX,SENSEX24NOV77900CE,29/NOV/24,77900.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92483,1161199_BFO,SENSEX24D0684700PE,SENSEX,SENSEX24D0684700PE,06/DEC/24,84700.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92485,1138715_BFO,SENSEX24DEC84800PE,SENSEX,SENSEX24DEC84800PE,27/DEC/24,84800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92487,1135989_BFO,SENSEX24O3184400CE,SENSEX,SENSEX24O3184400CE,31/OCT/24,84400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92489,1146314_BFO,SENSEX25SEP83000PE,SENSEX,SENSEX25SEP83000PE,26/SEP/25,83000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92491,1161217_BFO,SENSEX24D0679900PE,SENSEX,SENSEX24D0679900PE,06/DEC/24,79900.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92492,1161418_BFO,SENSEX24D0682700CE,SENSEX,SENSEX24D0682700CE,06/DEC/24,82700.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92493,1126947_BFO,SENSEX24NOV79900CE,SENSEX,SENSEX24NOV79900CE,29/NOV/24,79900.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92494,1163890_BFO,SENSEX24NOV76000PE,SENSEX,SENSEX24NOV76000PE,29/NOV/24,76000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92496,843144_BFO,SENSEX27DEC82000CE,SENSEX,SENSEX27DEC82000CE,31/DEC/27,82000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92497,1164351_BFO,SENSEX24D1381000PE,SENSEX,SENSEX24D1381000PE,13/DEC/24,81000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92501,1149672_BFO,SENSEX24N2285400CE,SENSEX,SENSEX24N2285400CE,22/NOV/24,85400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92502,1164724_BFO,SENSEX24D1377500CE,SENSEX,SENSEX24D1377500CE,13/DEC/24,77500.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92503,1148632_BFO,SENSEX24N0879800PE,SENSEX,SENSEX24N0879800PE,08/NOV/24,79800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92504,1149755_BFO,SENSEX24N2285600CE,SENSEX,SENSEX24N2285600CE,22/NOV/24,85600.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92505,1140811_BFO,SENSEX27DEC90000CE,SENSEX,SENSEX27DEC90000CE,31/DEC/27,90000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92506,1164925_BFO,SENSEX25JAN81100CE,SENSEX,SENSEX25JAN81100CE,31/JAN/25,81100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92510,1140591_BFO,SENSEX24N0882800CE,SENSEX,SENSEX24N0882800CE,08/NOV/24,82800.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92512,1150100_BFO,SENSEX24N1477300PE,SENSEX,SENSEX24N1477300PE,14/NOV/24,77300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92513,1162393_BFO,SENSEX24O3176300PE,SENSEX,SENSEX24O3176300PE,31/OCT/24,76300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92514,842880_BFO,SENSEX25JUN81000CE,SENSEX,SENSEX25JUN81000CE,27/JUN/25,81000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92515,1140521_BFO,SENSEX24N0883000PE,SENSEX,SENSEX24N0883000PE,08/NOV/24,83000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92517,1140467_BFO,SENSEX28DEC90000CE,SENSEX,SENSEX28DEC90000CE,29/DEC/28,90000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92518,1140994_BFO,SENSEX24N0884000PE,SENSEX,SENSEX24N0884000PE,08/NOV/24,84000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92519,1150213_BFO,SENSEX24O3177500CE,SENSEX,SENSEX24O3177500CE,31/OCT/24,77500.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92521,1140622_BFO,SENSEX24O3188200CE,SENSEX,SENSEX24O3188200CE,31/OCT/24,88200.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92523,1128264_BFO,SENSEX24NOV77700PE,SENSEX,SENSEX24NOV77700PE,29/NOV/24,77700.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92525,1150485_BFO,SENSEX24DEC77400CE,SENSEX,SENSEX24DEC77400CE,27/DEC/24,77400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92526,1164569_BFO,SENSEX24N2276000PE,SENSEX,SENSEX24N2276000PE,22/NOV/24,76000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92527,1141187_BFO,SENSEX24NOV88400CE,SENSEX,SENSEX24NOV88400CE,29/NOV/24,88400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92528,1146372_BFO,SENSEX24N1483700CE,SENSEX,SENSEX24N1483700CE,14/NOV/24,83700.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92530,1135919_BFO,SENSEX24O3185600CE,SENSEX,SENSEX24O3185600CE,31/OCT/24,85600.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92533,1146775_BFO,SENSEX24N1482900PE,SENSEX,SENSEX24N1482900PE,14/NOV/24,82900.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92535,1161253_BFO,SENSEX24D0683800CE,SENSEX,SENSEX24D0683800CE,06/DEC/24,83800.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92538,1146640_BFO,SENSEX24N1487200PE,SENSEX,SENSEX24N1487200PE,14/NOV/24,87200.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92541,1135954_BFO,SENSEX24O3185900PE,SENSEX,SENSEX24O3185900PE,31/OCT/24,85900.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92542,1138009_BFO,SENSEX24DEC82600CE,SENSEX,SENSEX24DEC82600CE,27/DEC/24,82600.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92543,1126556_BFO,SENSEX24NOV86000CE,SENSEX,SENSEX24NOV86000CE,29/NOV/24,86000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92544,1140893_BFO,SENSEX24N0887200CE,SENSEX,SENSEX24N0887200CE,08/NOV/24,87200.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92545,880608_BFO,SENSEX28DEC80000CE,SENSEX,SENSEX28DEC80000CE,29/DEC/28,80000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92547,1148330_BFO,SENSEX24N1479800PE,SENSEX,SENSEX24N1479800PE,14/NOV/24,79800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92553,1164013_BFO,SENSEX24D1379900CE,SENSEX,SENSEX24D1379900CE,13/DEC/24,79900.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92557,1161353_BFO,SENSEX24D0682800PE,SENSEX,SENSEX24D0682800PE,06/DEC/24,82800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92558,1126645_BFO,SENSEX24NOV81100CE,SENSEX,SENSEX24NOV81100CE,29/NOV/24,81100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92562,1162305_BFO,SENSEX24N2276900CE,SENSEX,SENSEX24N2276900CE,22/NOV/24,76900.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92563,1164671_BFO,SENSEX25JAN82100PE,SENSEX,SENSEX25JAN82100PE,31/JAN/25,82100.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92564,1127360_BFO,SENSEX29JUN88000CE,SENSEX,SENSEX29JUN88000CE,29/JUN/29,88000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92565,1163109_BFO,SENSEX24NOV76700PE,SENSEX,SENSEX24NOV76700PE,29/NOV/24,76700.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92567,1147420_BFO,SENSEX24N1480400PE,SENSEX,SENSEX24N1480400PE,14/NOV/24,80400.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92568,1141626_BFO,SENSEX24NOV88900CE,SENSEX,SENSEX24NOV88900CE,29/NOV/24,88900.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92570,1143855_BFO,SENSEX24DEC89700PE,SENSEX,SENSEX24DEC89700PE,27/DEC/24,89700.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92571,1161490_BFO,SENSEX24D0680900PE,SENSEX,SENSEX24D0680900PE,06/DEC/24,80900.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92572,1140101_BFO,SENSEX28JUN89000PE,SENSEX,SENSEX28JUN89000PE,30/JUN/28,89000.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92574,1164149_BFO,SENSEX25JAN76100PE,SENSEX,SENSEX25JAN76100PE,31/JAN/25,76100.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92575,1164908_BFO,SENSEX25JAN76300PE,SENSEX,SENSEX25JAN76300PE,31/JAN/25,76300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92577,1126284_BFO,SENSEX24NOV80200PE,SENSEX,SENSEX24NOV80200PE,29/NOV/24,80200.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92578,1159885_BFO,SENSEX24N2285900PE,SENSEX,SENSEX24N2285900PE,22/NOV/24,85900.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92580,1159412_BFO,SENSEX25DEC78000CE,SENSEX,SENSEX25DEC78000CE,26/DEC/25,78000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92581,1146994_BFO,SENSEX24N1480400CE,SENSEX,SENSEX24N1480400CE,14/NOV/24,80400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92582,871181_BFO,SENSEX25DEC75000CE,SENSEX,SENSEX25DEC75000CE,26/DEC/25,75000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92587,1136473_BFO,SENSEX24O3184300PE,SENSEX,SENSEX24O3184300PE,31/OCT/24,84300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92588,1162157_BFO,SENSEX24N1476400CE,SENSEX,SENSEX24N1476400CE,14/NOV/24,76400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92592,1164760_BFO,SENSEX25JAN83200CE,SENSEX,SENSEX25JAN83200CE,31/JAN/25,83200.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92597,1146551_BFO,SENSEX24N1481900PE,SENSEX,SENSEX24N1481900PE,14/NOV/24,81900.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92598,1147218_BFO,SENSEX24N0880300CE,SENSEX,SENSEX24N0880300CE,08/NOV/24,80300.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92599,1140070_BFO,SENSEX24O3187900CE,SENSEX,SENSEX24O3187900CE,31/OCT/24,87900.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92600,1138620_BFO,SENSEX24DEC79100PE,SENSEX,SENSEX24DEC79100PE,27/DEC/24,79100.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92601,1149234_BFO,SENSEX24N0878400CE,SENSEX,SENSEX24N0878400CE,08/NOV/24,78400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92603,1146639_BFO,SENSEX24N1488700PE,SENSEX,SENSEX24N1488700PE,14/NOV/24,88700.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92609,1149369_BFO,SENSEX24N2280400CE,SENSEX,SENSEX24N2280400CE,22/NOV/24,80400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92611,1149660_BFO,SENSEX24N2277700CE,SENSEX,SENSEX24N2277700CE,22/NOV/24,77700.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92612,1126183_BFO,SENSEX24NOV79500PE,SENSEX,SENSEX24NOV79500PE,29/NOV/24,79500.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92614,1141100_BFO,SENSEX24N0883100PE,SENSEX,SENSEX24N0883100PE,08/NOV/24,83100.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92615,1143067_BFO,SENSEX24O3189100PE,SENSEX,SENSEX24O3189100PE,31/OCT/24,89100.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92616,1161187_BFO,SENSEX24D0680700CE,SENSEX,SENSEX24D0680700CE,06/DEC/24,80700.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92617,1163967_BFO,SENSEX25JAN80800PE,SENSEX,SENSEX25JAN80800PE,31/JAN/25,80800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92619,1127153_BFO,SENSEX25JUN88000CE,SENSEX,SENSEX25JUN88000CE,27/JUN/25,88000.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92620,1126847_BFO,SENSEX24NOV79300PE,SENSEX,SENSEX24NOV79300PE,29/NOV/24,79300.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
92621,1165504_BFO,SENSEX25JAN84400CE,SENSEX,SENSEX25JAN84400CE,31/JAN/25,84400.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92622,1136136_BFO,SENSEX24O3183100CE,SENSEX,SENSEX24O3183100CE,31/OCT/24,83100.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92623,1149910_BFO,SENSEX24N2283900CE,SENSEX,SENSEX24N2283900CE,22/NOV/24,83900.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92625,1146835_BFO,SENSEX24N1486200CE,SENSEX,SENSEX24N1486200CE,14/NOV/24,86200.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92627,1146959_BFO,SENSEX24N1485600CE,SENSEX,SENSEX24N1485600CE,14/NOV/24,85600.0,0.05,10.0,CE,,OPTIDX,BFO,,,,,1,False,
92628,1162110_BFO,SENSEX24O3176800PE,SENSEX,SENSEX24O3176800PE,31/OCT/24,76800.0,0.05,10.0,PE,,OPTIDX,BFO,,,,,1,False,
