token,isin,return_option,schemeName,schemePlan,schemeCode,NAV,ChangeInNAV,ChangeInNAVPer,min_investment,div_frequency,NavDate
7853,INF044D01757,Dividend - Reinvest,Taurus Large Cap Fund (IDCW),Regular,TMFBEDP-DR,67.39,-0.31,-0.46,500.00,,4th November 2024
7854,INF044D01997,Dividend - Payout,Taurus ELSS Tax Saver Fund (IDCW),Regular,TMFLTDP-DP,84.9,-0.20,-0.24,500.00,,4th November 2024
7854,INF044D01997,Dividend - Payout,Taurus ELSS Tax Saver Fund (IDCW),Regular,TRLTDP-DP,84.9,-0.20,-0.24,500.00,,4th November 2024
7910,INF205K01155,Growth,Invesco India Financial Services Fund (G),Regular,RGFBF-GR,126.93,-1.35,-1.05,1000.00,,4th November 2024
7911,INF205K01163,Dividend - Reinvest,Invesco India Financial Services Fund (IDCW),Regular,RGFBF-DR,64.73,-0.69,-1.05,1000.00,,4th November 2024
7911,INF205K01171,Dividend - Payout,Invesco India Financial Services Fund (IDCW),Regular,RGFBF-DP,64.73,-0.69,-1.05,1000.00,,4th November 2024
7916,INF174K01FA2,Growth,Kotak Dynamic Bond Fund - Regular (G),Regular,197-GR,35.8951,0.05,0.13,100.00,,4th November 2024
8028,INF843K01344,Growth,Edelweiss Money Market Fund - Regular (G),Regular,EDAIRG-GR,27.1509,0.02,0.08,100.00,,4th November 2024
8029,INF843K01351,Dividend - Payout,Edelweiss Money Market Fund - Regular (IDCW),Regular,EDAIRP-DP,25.5404,0.02,0.08,100.00,QUARTERLY,4th November 2024
8029,INF843K01369,Dividend - Reinvest,Edelweiss Money Market Fund - Regular (IDCW),Regular,EDAIRP-DR,25.5404,0.02,0.08,100.00,QUARTERLY,4th November 2024
8030,INF843K01377,Growth,Edelweiss Money Market Fund - Inst (G),Regular,EDAIGP-GR,23.2342,0.01,0.06,100000.00,,4th November 2024
8124,INF769K01960,Dividend - Payout,Mirae Asset Low Duration Fund - Regular (IDCW-M),Regular,MAFLPIM-DP,1089.4196,0.75,0.07,5000.00,MONTHLY,4th November 2024
8124,INF769K01AA0,Dividend - Reinvest,Mirae Asset Low Duration Fund - Regular (IDCW-M),Regular,MAFLPIM-DR,1089.4196,0.75,0.07,5000.00,MONTHLY,4th November 2024
8153,INF209K01MB0,Dividend - Reinvest,Aditya Birla SL Savings Fund - Retail (IDCW-D),Regular,131DD,100.2679,0.00,0.00,10000.00,DAILY,4th November 2024
8221,INF754K01HI0,Dividend - Reinvest,Edelweiss Liquid Fund - Retail (IDCW-M),Regular,EDILMD-DR,1245.9091,0.25,0.02,100.00,MONTHLY,4th November 2024
8278,INF109K01BU5,Growth,ICICI Pru Banking & Financial Services (G),Regular,BAFIN,122.01,-1.15,-0.93,5000.00,,4th November 2024
8279,INF109K01BV3,Dividend - Payout,ICICI Pru Banking & Financial Services (IDCW),Regular,IC1234-DP,34.28,-0.32,-0.92,5000.00,,4th November 2024
8279,INF109K01BV3,Dividend - Reinvest,ICICI Pru Banking & Financial Services (IDCW),Regular,BAFIN-DR,34.28,-0.32,-0.92,5000.00,,4th November 2024
8279,INF109K01DY3,Dividend - Payout,ICICI Pru Banking & Financial Services (IDCW),Regular,BAFIN-DP,34.28,-0.32,-0.92,5000.00,,4th November 2024
8340,INF966L01374,Growth,Quant Focused Fund (G),Regular,QULSGP-GR,88.0708,-1.12,-1.25,5000.00,,4th November 2024
8341,INF966L01358,Dividend - Payout,Quant Focused Fund (IDCW),Regular,QULSDP-DP,65.4842,-0.84,-1.26,5000.00,,4th November 2024
8341,INF966L01366,Dividend - Reinvest,Quant Focused Fund (IDCW),Regular,QULSDP-DR,65.4842,-0.84,-1.26,5000.00,,4th November 2024
8346,INF223J01FK8,Growth,PGIM India Ultra Short Duration Fund (G),Regular,DWSFFIG-GR,32.5899,0.02,0.06,5000.00,,4th November 2024
8347,INF223J01FO0,Dividend - Payout,PGIM India Ultra Short Duration Fund (IDCW-W),Regular,DWFFIW-DP,10.0844,-0.01,-0.06,5000.00,WEEKLY,4th November 2024
8347,INF223J01FP7,Dividend - Reinvest,PGIM India Ultra Short Duration Fund (IDCW-W),Regular,DWFFIW-DR,10.0844,-0.01,-0.06,5000.00,WEEKLY,4th November 2024
8348,INF223J01FL6,Dividend - Payout,PGIM India Ultra Short Duration Fund (IDCW-M),Regular,DWSFFIM-DP,14.0747,0.01,0.10,5000.00,MONTHLY,4th November 2024
8348,INF223J01FM4,Dividend - Reinvest,PGIM India Ultra Short Duration Fund (IDCW-M),Regular,DWSFFIM-DR,14.0747,0.01,0.10,5000.00,MONTHLY,4th November 2024
8349,INF223J01FH4,Dividend - Reinvest,PGIM India Ultra Short Duration Fund (IDCW-D),Regular,PR2FID-DR,10.0203,0.00,0.00,5000.00,DAILY,4th November 2024
8398,INF760K01CW9,Growth,Canara Robeco Liquid Fund - (G),Regular,CRLISG-GR,3004.0105,0.65,0.02,5000.00,,4th November 2024
8399,INF760K01CU3,Dividend - Reinvest,Canara Robeco Liquid Fund - (IDCW-D),Regular,CRLISD-DR,1005.5,0.00,0.00,5000.00,DAILY,4th November 2024
8400,INF760K01BZ4,Dividend - Payout,Canara Robeco Liquid Fund - (IDCW-W),Regular,CRLISW-DP,1001.1199,0.22,0.02,5000.00,WEEKLY,4th November 2024
8400,INF760K01CZ2,Dividend - Reinvest,Canara Robeco Liquid Fund - (IDCW-W),Regular,CRLISW-DR,1001.1199,0.22,0.02,5000.00,WEEKLY,4th November 2024
8402,INF760K01CX7,Dividend - Payout,Canara Robeco Liquid Fund - (IDCW-M),Regular,CRLISM-DP,1001.1208,0.22,0.02,5000.00,MONTHLY,4th November 2024
8402,INF760K01CY5,Dividend - Reinvest,Canara Robeco Liquid Fund - (IDCW-M),Regular,CRLISM-DR,1001.1208,0.22,0.02,5000.00,MONTHLY,4th November 2024
8403,INF760K01DC9,Growth,Canara Robeco Ultra Short Term Fund (G),Regular,CRTASG-GR,3633.2042,2.72,0.08,500.00,,4th November 2024
8404,INF760K01DA3,Dividend - Reinvest,Canara Robeco Ultra Short Term Fund (IDCW-D),Regular,CRTASD-DR,1240.71,0.00,0.00,500.00,DAILY,4th November 2024
8405,INF760K01DE5,Dividend - Payout,Canara Robeco Ultra Short Term Fund (IDCW-W),Regular,CRTASW-DP,1241.9164,0.93,0.07,500.00,WEEKLY,4th November 2024
8405,INF760K01DF2,Dividend - Reinvest,Canara Robeco Ultra Short Term Fund (IDCW-W),Regular,CRTASW-DR,1241.9164,0.93,0.07,500.00,WEEKLY,4th November 2024
8407,INF760K01CA5,Dividend - Payout,Canara Robeco Ultra Short Term Fund (IDCW-M),Regular,CRTASM-DP,1002.2009,0.75,0.07,500.00,MONTHLY,4th November 2024
8407,INF760K01DD7,Dividend - Reinvest,Canara Robeco Ultra Short Term Fund (IDCW-M),Regular,CRTASM-DR,1002.2009,0.75,0.07,500.00,MONTHLY,4th November 2024
8416,INF761K01306,Growth,Bank of India Liquid Fund (G),Regular,BAFLFRG-GR,2873.5513,0.59,0.02,5000.00,,4th November 2024
8422,INF761K01CP1,Dividend - Reinvest,Bank of India Liquid Fund (IDCW-W),Regular,LFRWR-DR,1001.3124,-1.15,-0.11,5000.00,WEEKLY,4th November 2024
8429,INF761K01298,Growth,Bank of India Ultra Short Duration Fund (G),Regular,BAFTFRG-GR,3024.3138,2.18,0.07,5000.00,,4th November 2024
8430,INF761K01CX5,Dividend - Reinvest,Bank of India Ultra Short Duration Fund (IDCW-W),Regular,TFRWR-DR,1008.7457,0.73,0.07,5000.00,WEEKLY,4th November 2024
8586,INF204K01EH5,Dividend - Payout,Nippon India Corporate Bond Fund - (IDCW-W),Regular,RLIPWDD-DP,17.1157,0.02,0.09,5000.00,WEEKLY,4th November 2024
8586,INF204K01EI3,Dividend - Reinvest,Nippon India Corporate Bond Fund - (IDCW-W),Regular,RLIPWDR-DR,17.1157,0.02,0.09,5000.00,WEEKLY,4th November 2024
8587,INF204K01EG7,Dividend - Reinvest,Nippon India Corporate Bond Fund - (IDCW-D),Regular,RLIPDDR-DR,17.0959,0.00,-0.02,5000.00,DAILY,4th November 2024
8606,INF789F01554,Dividend - Reinvest,UTI-Ultra Short Duration Fund (IDCW-D),Regular,UTIFLOTNGD-DR-D,1046.1477,0.00,0.00,20000.00,DAILY,4th November 2024
8613,INF084M01AT0,Growth,Aditya Birla SL Global Emerging Oppt Fund (G),Regular,BS1050-GR,24.4817,-0.50,-1.99,100.00,,31st October 2024
8614,INF084M01AU8,Dividend - Payout,Aditya Birla SL Global Emerging Oppt Fund (IDCW),Regular,BS1049P-DP,24.4861,-0.50,-2.02,100.00,,31st October 2024
8614,INF084M01AU8,Dividend - Reinvest,Aditya Birla SL Global Emerging Oppt Fund (IDCW),Regular,BS1049P-DR,24.4861,-0.50,-2.02,100.00,,31st October 2024
8614,INF084M01AV6,Dividend - Payout,Aditya Birla SL Global Emerging Oppt Fund (IDCW),Regular,BS59C-DP,24.4861,-0.50,-2.02,100.00,,31st October 2024
8614,INF084M01AV6,Dividend - Reinvest,Aditya Birla SL Global Emerging Oppt Fund (IDCW),Regular,BS1049-DR,24.4861,-0.50,-2.02,100.00,,31st October 2024
8633,INF192K01635,Growth,JM Flexicap Fund (G),Regular,MSGP-GR,103.6137,-0.75,-0.72,1000.00,,4th November 2024
8634,INF192K01619,Dividend - Payout,JM Flexicap Fund (IDCW),Regular,MSDP-DP,79.8423,-0.58,-0.72,1000.00,,4th November 2024
8634,INF192K01627,Dividend - Reinvest,JM Flexicap Fund (IDCW),Regular,JMMSDP-DR,79.8423,-0.58,-0.72,1000.00,,4th November 2024
8639,INF789F01GW9,Growth,UTI-Quarterly Interval Fund - II (G),Regular,UTIQGPG-GR,29.2772,0.02,0.06,10000.00,,4th November 2024
8640,INF789F01GU3,Dividend - Payout,UTI-Quarterly Interval Fund - II (IDCW),Regular,UTIQDPD-DP,10.8351,0.01,0.05,10000.00,,4th November 2024
8640,INF789F01GV1,Dividend - Reinvest,UTI-Quarterly Interval Fund - II (IDCW),Regular,UTIQDPR-DR,10.8351,0.01,0.05,10000.00,,4th November 2024
8816,INF109K01BO8,Growth,ICICI Pru Bond Fund - Regular (G),Regular,ICICI1262-GR,38.0189,0.04,0.10,5000.00,,4th November 2024
8817,INF109K01BP5,Dividend - Payout,ICICI Pru Bond Fund - Regular (IDCW-M),Regular,IC1263-DP,11.3163,-0.01,-0.12,5000.00,MONTHLY,4th November 2024
8817,INF109K01BP5,Dividend - Payout,ICICI Pru Bond Fund - Regular (IDCW-M),Regular,ICICI1263-DP-M,11.3163,-0.01,-0.12,5000.00,MONTHLY,4th November 2024
8817,INF109K01BP5,Dividend - Reinvest,ICICI Pru Bond Fund - Regular (IDCW-M),Regular,IC1263-DR,11.3163,-0.01,-0.12,5000.00,MONTHLY,4th November 2024
8817,INF109K01BP5,Dividend - Reinvest,ICICI Pru Bond Fund - Regular (IDCW-M),Regular,ICICI1263-DR-M,11.3163,-0.01,-0.12,5000.00,MONTHLY,4th November 2024
8817,INF109K01EU9,Dividend - Payout,ICICI Pru Bond Fund - Regular (IDCW-M),Regular,IC1263P-DP,11.3163,-0.01,-0.12,5000.00,MONTHLY,4th November 2024
8817,INF109K01EU9,Dividend - Payout,ICICI Pru Bond Fund - Regular (IDCW-M),Regular,ICICI1263P-DP-M,11.3163,-0.01,-0.12,5000.00,MONTHLY,4th November 2024
8818,INF109K01BS9,Dividend - Payout,ICICI Pru Bond Fund - Regular (IDCW-Q),Regular,IC1280-DP,11.5301,0.01,0.09,5000.00,QUARTERLY,4th November 2024
8818,INF109K01BS9,Dividend - Payout,ICICI Pru Bond Fund - Regular (IDCW-Q),Regular,ICICI1280-DP-Q,11.5301,0.01,0.09,5000.00,QUARTERLY,4th November 2024
8818,INF109K01BS9,Dividend - Reinvest,ICICI Pru Bond Fund - Regular (IDCW-Q),Regular,IC1280-DR,11.5301,0.01,0.09,5000.00,QUARTERLY,4th November 2024
8818,INF109K01BS9,Dividend - Reinvest,ICICI Pru Bond Fund - Regular (IDCW-Q),Regular,ICICI1280-DR-Q,11.5301,0.01,0.09,5000.00,QUARTERLY,4th November 2024
8818,INF109K01EV7,Dividend - Payout,ICICI Pru Bond Fund - Regular (IDCW-Q),Regular,IC1280P-DP,11.5301,0.01,0.09,5000.00,QUARTERLY,4th November 2024
8818,INF109K01EV7,Dividend - Payout,ICICI Pru Bond Fund - Regular (IDCW-Q),Regular,ICICI1280P-DP-Q,11.5301,0.01,0.09,5000.00,QUARTERLY,4th November 2024
8946,INF204K01BV2,Dividend - Payout,Nippon India GSF - (IDCW-M),Regular,RELGLTRP-DP-M,10.6149,0.01,0.14,5000.00,MONTHLY,4th November 2024
8946,INF204K01BW0,Dividend - Reinvest,Nippon India GSF - (IDCW-M),Regular,RELGLTRP-DR-M,10.6149,0.01,0.14,5000.00,MONTHLY,4th November 2024
8947,INF204K01CA4,Dividend - Reinvest,Nippon India GSF - PF -Auto Annual Reinvest,Regular,RELGLTRPF-AARO-GR,30.5775,0.04,0.12,5000.00,,4th November 2024
8948,INF204K01CB2,Growth,Nippon India GSF - PF -Defined Maturity Date,Regular,RELGLTRPPF-DMDO-GR,36.4645,0.04,0.12,5000.00,,4th November 2024
8948,INF204K01CB2,Growth,Nippon India GSF - PF -Defined Maturity Date,Regular,RLGLRM-GR,36.4645,0.04,0.12,5000.00,,4th November 2024
8949,INF204K01CC0,Dividend - Payout,Nippon India GSF - PF -Auto Cap Appreciation,Regular,RELGLTRPPF-ACAP-GR,36.4645,0.04,0.12,5000.00,,4th November 2024
8949,INF204K01CC0,Dividend - Payout,Nippon India GSF - PF -Auto Cap Appreciation,Regular,RLGLRC-DP,36.4645,0.04,0.12,5000.00,,4th November 2024
8970,INF966L01457,Growth,Quant Flexi Cap Fund (G),Regular,QUPEGP-GR,100.9746,-0.83,-0.81,5000.00,,4th November 2024
8971,INF966L01432,Dividend - Payout,Quant Flexi Cap Fund (IDCW),Regular,QUPEDP-DP,72.1708,-0.59,-0.81,5000.00,,4th November 2024
8971,INF966L01440,Dividend - Reinvest,Quant Flexi Cap Fund (IDCW),Regular,QUPEDP-DR,72.1708,-0.59,-0.81,5000.00,,4th November 2024
9014,INF789F01HC9,Growth,UTI-Quarterly Interval Fund - III (G),Regular,UTIRGP-GR,29.7596,0.02,0.07,10000.00,,4th November 2024
9015,INF789F01HA3,Dividend - Payout,UTI-Quarterly Interval Fund - III (IDCW),Regular,UTIRDP-DP,10.8912,0.01,0.10,10000.00,,4th November 2024
9015,INF789F01HB1,Dividend - Reinvest,UTI-Quarterly Interval Fund - III (IDCW),Regular,UTIRDP-DR,10.8912,0.01,0.10,10000.00,,4th November 2024
9072,INF761K01108,Growth,Bank of India Large & Mid Cap Equity Fund (G),Regular,BAFEFRG-GR,86.81,-0.71,-0.81,5000.00,,4th November 2024
9073,INF761K01116,Dividend - Payout,Bank of India Large & Mid Cap Equity Fund (IDCW-Q),Regular,BAFEFRQ-DP-Q,31.61,-0.26,-0.82,5000.00,QUARTERLY,4th November 2024
9073,INF761K01124,Dividend - Reinvest,Bank of India Large & Mid Cap Equity Fund (IDCW-Q),Regular,BAFEFRQ-DR-Q,31.61,-0.26,-0.82,5000.00,QUARTERLY,4th November 2024
9075,INF761K01082,Dividend - Payout,Bank of India Large & Mid Cap Equity Fund (IDCW),Regular,BAFEFRD-DP,25.91,-0.21,-0.80,5000.00,,4th November 2024
9075,INF761K01090,Dividend - Reinvest,Bank of India Large & Mid Cap Equity Fund (IDCW),Regular,BAFEFRD-DR,25.91,-0.21,-0.80,5000.00,,4th November 2024
9076,INF761K01041,Growth,Bank of India Large & Mid Cap Equity Fund - Eco (G,Regular,BAFEFEG-GR,94.96,-0.77,-0.80,5000.00,,4th November 2024
9077,INF761K01058,Dividend - Payout,Bank of India Large & Mid Cap Equity Fund - Eco (I,Regular,BAFEFEQ-DP-Q,26.79,-0.21,-0.78,5000.00,QUARTERLY,4th November 2024
9077,INF761K01066,Dividend - Reinvest,Bank of India Large & Mid Cap Equity Fund - Eco (I,Regular,BAFEFEQ-DR-Q,26.79,-0.21,-0.78,5000.00,QUARTERLY,4th November 2024
9079,INF761K01025,Dividend - Payout,Bank of India Large & Mid Cap Equity Fund - Eco (I,Regular,BAFEFED-DP,26.59,-0.21,-0.78,5000.00,,4th November 2024
9079,INF761K01033,Dividend - Reinvest,Bank of India Large & Mid Cap Equity Fund - Eco (I,Regular,BAFEFED-DR,26.59,-0.21,-0.78,5000.00,,4th November 2024
9363,INF754K01GZ6,Growth,Edelweiss Liquid Fund - Regular (G),Regular,EDILSG-GR,3191.8755,0.64,0.02,100.00,,4th November 2024
9364,INF754K01HB5,Dividend - Reinvest,Edelweiss Liquid Fund - Regular (IDCW-W),Regular,EDILSW-DR,1192.3566,0.24,0.02,100.00,WEEKLY,4th November 2024
9364,INF754K01HJ8,Dividend - Payout,Edelweiss Liquid Fund - Regular (IDCW-W),Regular,EDILSW-DP,1192.3566,0.24,0.02,100.00,WEEKLY,4th November 2024
9365,INF754K01HD1,Dividend - Reinvest,Edelweiss Liquid Fund - Regular (IDCW-M),Regular,EDILSM-DR,1084.4538,0.21,0.02,100.00,MONTHLY,4th November 2024
9365,INF754K01HL4,Dividend - Payout,Edelweiss Liquid Fund - Regular (IDCW-M),Regular,EDILSM-DP,1084.4538,0.21,0.02,100.00,MONTHLY,4th November 2024
9366,INF754K01HC3,Dividend - Reinvest,Edelweiss Liquid Fund - Regular (IDCW-Frt),Regular,EDILSF-DR,2155.5489,0.43,0.02,100.00,FORTNIGHTLY,4th November 2024
9366,INF754K01HK6,Dividend - Payout,Edelweiss Liquid Fund - Regular (IDCW-Frt),Regular,EDILSF-DP,2155.5489,0.43,0.02,100.00,FORTNIGHTLY,4th November 2024
9367,INF754K01HA7,Dividend - Reinvest,Edelweiss Liquid Fund - Regular (IDCW-D),Regular,EDILSR-DR,1181.8594,0.24,0.02,100.00,DAILY,4th November 2024
9465,INF209K01LU2,Dividend - Payout,Aditya Birla SL Banking&PSU Debt Fund - (IDCW-M),Regular,BS85NDD-DP,111.7063,0.07,0.06,1000.00,MONTHLY,4th November 2024
9465,INF209K01LU2,Dividend - Reinvest,Aditya Birla SL Banking&PSU Debt Fund - (IDCW-M),Regular,BS85NDD-DR,111.7063,0.07,0.06,1000.00,MONTHLY,4th November 2024
9589,INF251K01EI4,Growth,Baroda BNP Paribas Corporate Bond Fund-Reg (legacy,Regular,BPCBRG-GR,30.0035,0.02,0.08,5000.00,,4th November 2024
9591,INF251K01EJ2,Dividend - Payout,Baroda BNP Paribas Corporate Bond Fund-Reg (legacy,Regular,BPCBQI-DP,10.282,0.00,0.02,5000.00,MONTHLY,4th November 2024
9591,INF251K01EK0,Dividend - Reinvest,Baroda BNP Paribas Corporate Bond Fund-Reg (legacy,Regular,BPCBQI-DR,10.282,0.00,0.02,5000.00,MONTHLY,4th November 2024
9592,INF251K01EL8,Dividend - Payout,Baroda BNP Paribas Corporate Bond Fund-Reg (legacy,Regular,BPCBRQ-DP,10.3408,0.01,0.10,5000.00,QUARTERLY,4th November 2024
9592,INF251K01EM6,Dividend - Reinvest,Baroda BNP Paribas Corporate Bond Fund-Reg (legacy,Regular,BPCBRQ-DR,10.3408,0.01,0.10,5000.00,QUARTERLY,4th November 2024
9593,INF251K01EN4,Dividend - Payout,Baroda BNP Paribas Corporate Bond Fund-Reg (legacy,Regular,BPCBRA-DP,10.8002,0.01,0.09,5000.00,ANNUAL,4th November 2024
9593,INF251K01EO2,Dividend - Reinvest,Baroda BNP Paribas Corporate Bond Fund-Reg (legacy,Regular,BPCBRA-DR,10.8002,0.01,0.09,5000.00,ANNUAL,4th November 2024
9594,INF251K01EP9,Growth,Baroda BNP Paribas Corporate Bond Fund-Reg (G),Regular,BPCBGP-GR,25.9246,0.01,0.06,5000.00,,4th November 2024
9596,INF251K01EQ7,Dividend - Payout,Baroda BNP Paribas Corporate Bond Fund-Reg (IDCW-M,Regular,BPCBMD-DP,10.319,0.01,0.09,5000.00,MONTHLY,4th November 2024
9596,INF251K01ER5,Dividend - Reinvest,Baroda BNP Paribas Corporate Bond Fund-Reg (IDCW-M,Regular,BPCBMD-DR,10.319,0.01,0.09,5000.00,MONTHLY,4th November 2024
9597,INF251K01ES3,Dividend - Payout,Baroda BNP Paribas Corporate Bond Fund-Reg (IDCW-Q,Regular,BPCBQD-DP,10.3586,0.01,0.08,5000.00,QUARTERLY,4th November 2024
9597,INF251K01ET1,Dividend - Reinvest,Baroda BNP Paribas Corporate Bond Fund-Reg (IDCW-Q,Regular,BPCBQD-DR,10.3586,0.01,0.08,5000.00,QUARTERLY,4th November 2024
9598,INF251K01EU9,Dividend - Payout,Baroda BNP Paribas Corporate Bond Fund-Reg (IDCW-A,Regular,BPCBAR-DP,10.7303,0.01,0.10,5000.00,ANNUAL,4th November 2024
9598,INF251K01EV7,Dividend - Reinvest,Baroda BNP Paribas Corporate Bond Fund-Reg (IDCW-A,Regular,BPCBAR-DR,10.7303,0.01,0.10,5000.00,ANNUAL,4th November 2024
9667,INF223J01AQ6,Growth,PGIM India Gilt Fund (G),Regular,DWGFGP-GR,28.9375,0.04,0.13,5000.00,,4th November 2024
9668,INF223J01AO1,Dividend - Payout,PGIM India Gilt Fund (IDCW-Q),Regular,DWGFDP-DP,13.791,0.02,0.15,5000.00,,4th November 2024
9668,INF223J01AP8,Dividend - Reinvest,PGIM India Gilt Fund (IDCW-Q),Regular,DWGFDP-DR,13.791,0.02,0.15,5000.00,,4th November 2024
9803,INF789F01AP6,Growth,UTI-Multi Asset Allocation Fund (G),Regular,UTIWBF_II-GR,71.2873,-0.19,-0.27,5000.00,,4th November 2024
9803,INF789F01AP6,Growth,UTI-Multi Asset Allocation Fund (G),Regular,UTW2GP-GR,71.2873,-0.19,-0.27,5000.00,,4th November 2024
9804,INF789F01AN1,Dividend - Payout,UTI-Multi Asset Allocation Fund (IDCW),Regular,UTIWBF_II-DP,28.3504,-0.08,-0.28,5000.00,,4th November 2024
9804,INF789F01AN1,Dividend - Payout,UTI-Multi Asset Allocation Fund (IDCW),Regular,UTW2DP-DP,28.3504,-0.08,-0.28,5000.00,,4th November 2024
9804,INF789F01AO9,Dividend - Reinvest,UTI-Multi Asset Allocation Fund (IDCW),Regular,UTIWBF_II-DR,28.3504,-0.08,-0.28,5000.00,,4th November 2024
9804,INF789F01AO9,Dividend - Reinvest,UTI-Multi Asset Allocation Fund (IDCW),Regular,UTW2DP-DR,28.3504,-0.08,-0.28,5000.00,,4th November 2024
9977,INF194K01FH5,Dividend - Reinvest,Bandhan GSF Constant Maturity Plan (IDCW-W),Regular,IDGSW-DR,10.2025,0.01,0.12,1000.00,WEEKLY,4th November 2024
10064,INF044D01781,Dividend - Payout,Taurus Mid Cap Fund (IDCW),Regular,TMFDSDP-DP,107.14,-1.09,-1.01,500.00,,4th November 2024
10064,INF044D01781,Dividend - Payout,Taurus Mid Cap Fund (IDCW),Regular,TRDSDP-DP,107.14,-1.09,-1.01,500.00,,4th November 2024
10064,INF044D01799,Dividend - Reinvest,Taurus Mid Cap Fund (IDCW),Regular,TMFDSDP-DR,107.14,-1.09,-1.01,500.00,,4th November 2024
10064,INF044D01799,Dividend - Reinvest,Taurus Mid Cap Fund (IDCW),Regular,TRDSDP-DR,107.14,-1.09,-1.01,500.00,,4th November 2024
10065,INF044D01955,Dividend - Payout,Taurus Flexi Cap Fund (IDCW),Regular,TMFSSDP-DP,109.93,-0.54,-0.49,500.00,,4th November 2024
10065,INF044D01955,Dividend - Payout,Taurus Flexi Cap Fund (IDCW),Regular,TRSSDP-DP,109.93,-0.54,-0.49,500.00,,4th November 2024
10065,INF044D01963,Dividend - Reinvest,Taurus Flexi Cap Fund (IDCW),Regular,TMFSSDP-DR,109.93,-0.54,-0.49,500.00,,4th November 2024
10065,INF044D01963,Dividend - Reinvest,Taurus Flexi Cap Fund (IDCW),Regular,TRSSDP-DR,109.93,-0.54,-0.49,500.00,,4th November 2024
10070,INF194K01292,Growth,Bandhan ELSS Tax Saver Fund (G),Regular,IDFC223-GR,148.962,-1.16,-0.77,500.00,,4th November 2024
10071,INF194K01300,Dividend - Payout,Bandhan ELSS Tax Saver Fund (IDCW),Regular,IDFC224-DP,34.515,-0.27,-0.76,500.00,,4th November 2024
10071,INF194K01318,Dividend - Reinvest,Bandhan ELSS Tax Saver Fund (IDCW),Regular,IF224-DR,34.515,-0.27,-0.76,500.00,,4th November 2024
10072,INF761K01579,Growth,Bank of India Short Term Income (G),Regular,BAFIFRG-GR,25.4495,0.48,1.92,5000.00,,4th November 2024
10073,INF761K01587,Dividend - Reinvest,Bank of India Short Term Income (IDCW-M),Regular,BAFIFRM-DR-M,13.0593,0.25,1.95,5000.00,MONTHLY,4th November 2024
10073,INF761K01595,Dividend - Payout,Bank of India Short Term Income (IDCW-M),Regular,BAFIFRM-DP-M,13.0593,0.25,1.95,5000.00,MONTHLY,4th November 2024
10074,INF761K01603,Dividend - Reinvest,Bank of India Short Term Income (IDCW-Q),Regular,BAFIFRQ-DR-Q,12.8693,0.24,1.89,5000.00,QUARTERLY,4th November 2024
10074,INF761K01611,Dividend - Payout,Bank of India Short Term Income (IDCW-Q),Regular,BAFIFRQ-DP-Q,12.8693,0.24,1.89,5000.00,QUARTERLY,4th November 2024
10103,INF194K01QG4,Growth,Bandhan Dynamic Bond Fund - Regular (G),Regular,IDFC82-GR,32.8617,0.06,0.19,1000.00,,4th November 2024
10105,INF194K01QN0,Dividend - Reinvest,Bandhan Dynamic Bond Fund - Regular (IDCW),Regular,IF83-DR,12.5651,0.03,0.20,1000.00,,4th November 2024
10105,INF194K01QO8,Dividend - Payout,Bandhan Dynamic Bond Fund - Regular (IDCW),Regular,IF83-DP,12.5651,0.03,0.20,1000.00,,4th November 2024
10105,INF194K01QO8,Dividend - Reinvest,Bandhan Dynamic Bond Fund - Regular (IDCW),Regular,ID83-DR,12.5651,0.03,0.20,1000.00,,4th November 2024
10110,INF194K01DZ2,Growth,Bandhan G Sec Fund - Invst Plan - Regular (G),Regular,IDFC86-GR,34.0429,0.06,0.19,1000.00,,4th November 2024
10111,INF194K01EJ4,Dividend - Reinvest,Bandhan G Sec Fund - Invst Plan - Regular (IDCW),Regular,IF87-DR,12.8292,0.03,0.23,1000.00,QUARTERLY,4th November 2024
10111,INF194K01EK2,Dividend - Payout,Bandhan G Sec Fund - Invst Plan - Regular (IDCW),Regular,IF87-DP,12.8292,0.03,0.23,1000.00,QUARTERLY,4th November 2024
10111,INF194K01EK2,Dividend - Reinvest,Bandhan G Sec Fund - Invst Plan - Regular (IDCW),Regular,ID87-DR,12.8292,0.03,0.23,1000.00,QUARTERLY,4th November 2024
10125,INF109K01AY9,Dividend - Payout,ICICI Pru Floating Interest Fund-Regular (IDCW-W),Regular,IC1544-DP,102.4251,0.14,0.13,500.00,WEEKLY,4th November 2024
10125,INF109K01AY9,Dividend - Payout,ICICI Pru Floating Interest Fund-Regular (IDCW-W),Regular,ICICI1544-DP-W,102.4251,0.14,0.13,500.00,WEEKLY,4th November 2024
10125,INF109K01AY9,Dividend - Reinvest,ICICI Pru Floating Interest Fund-Regular (IDCW-W),Regular,IC1544-DR,102.4251,0.14,0.13,500.00,WEEKLY,4th November 2024
10125,INF109K01AY9,Dividend - Reinvest,ICICI Pru Floating Interest Fund-Regular (IDCW-W),Regular,ICICI1544-DR-W,102.4251,0.14,0.13,500.00,WEEKLY,4th November 2024
10125,INF109K01EN4,Dividend - Payout,ICICI Pru Floating Interest Fund-Regular (IDCW-W),Regular,IC1544P-DP,102.4251,0.14,0.13,500.00,WEEKLY,4th November 2024
